FaseA
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
17,49
17,26
16,98
16,66
16,30
15,89
15,44
14,95
14,43
13,86
13,26
12,62
11,95
11,25
10,52
9,76
8,98
8,18
7,35
6,51
5,64
4,77
3,88
2,98
2,08
1,17
0,25
-0,66
-1,57
-2,47
-3,37
-4,26
-5,13
-6,00
-6,84
-7,67
-8,47
-9,26
-10,02
-10,75
-11,45
-12,12
-12,76
-13,36
-13,93
-14,46
-14,96
-15,41
-15,82
-16,19
-16,52
-16,80
-17,04
-17,23
-17,38
-17,48
-17,54
-17,55
-17,51
-17,43
-17,30
-17,13
-16,91
-16,65
-16,34
-15,99
-15,60
-15,17
-14,70
-14,19
-13,65
-13,07
-12,45
-11,81
-11,13
-10,43
-9,69
-8,94
-8,16
-7,36
-6,55
-5,71
-4,87
-4,01
-3,14
-2,27
-1,39
-0,51
0,00
0,92
1,84
2,76
3,67
4,56
5,45
6,32
7,18
8,01
8,83
9,62
10,38
11,12
11,83
12,51
13,15
13,76
14,34
14,87
15,37
15,83
16,24
16,61
16,94
17,22
17,46
17,65
17,79
17,89
17,94
17,95
17,90
17,81
17,67
