Ia,Ib,Ic,RPM,Classe
369,14,-394,1728,1
364,30,-405,1728,1
358,44,-413,1728,1
352,55,-418,1728,1
346,67,-424,1728,1
338,83,-432,1728,1
328,99,-440,1728,1
316,118,-446,1728,1
300,140,-453,1728,1
283,163,-459,1728,1
266,188,-467,1728,1
247,215,-476,1728,1
225,246,-485,1728,1
201,278,-493,1728,1
177,308,-499,1728,1
152,337,-505,1728,1
126,366,-508,1728,1
101,394,-510,1728,1
78,418,-513,1728,1
57,442,-515,1728,1
39,461,-517,1728,1
22,479,-518,1728,1
4,495,-517,1728,1
-12,508,-513,1728,1
-27,516,-508,1728,1
-39,522,-501,1728,1
-52,526,-493,1728,1
-67,529,-480,1728,1
-82,527,-463,1728,1
-99,522,-442,1728,1
-117,515,-417,1728,1
-134,504,-388,1728,1
-153,492,-357,1728,1
-175,481,-324,1728,1
-197,468,-289,1728,1
-219,454,-253,1728,1
-241,438,-215,1728,1
-264,423,-176,1728,1
-286,408,-139,1728,1
-306,394,-105,1728,1
-324,381,-74,1728,1
-341,369,-45,1728,1
-356,358,-18,1728,1
-371,348,8,1728,1
-383,336,31,1728,1
-389,325,49,1728,1
-394,315,64,1728,1
-399,304,80,1728,1
-405,292,98,1728,1
-408,279,115,1728,1
-410,264,131,1728,1
-410,248,148,1728,1
-409,231,164,1728,1
-409,214,181,1728,1
-411,194,203,1728,1
-411,173,225,1728,1
-410,150,246,1728,1
-407,127,267,1728,1
-404,103,289,1728,1
-400,77,311,1728,1
-396,54,330,1728,1
-393,33,348,1728,1
-389,14,363,1728,1
-385,-3,377,1728,1
-382,-20,391,1728,1
-378,-36,403,1728,1
-371,-50,411,1728,1
-365,-63,418,1728,1
-359,-75,424,1728,1
-351,-91,432,1728,1
-342,-108,440,1728,1
-329,-127,447,1728,1
-314,-149,454,1728,1
-297,-173,461,1728,1
-279,-198,468,1728,1
-260,-226,478,1728,1
-237,-257,487,1728,1
-213,-289,495,1728,1
-188,-320,501,1728,1
-163,-349,506,1728,1
-137,-378,509,1728,1
-112,-405,511,1728,1
-89,-430,513,1728,1
-68,-453,516,1728,1
-49,-473,517,1728,1
-32,-491,518,1728,1
-14,-508,517,1728,1
2,-520,513,1728,1
17,-528,507,1728,1
30,-534,501,1728,1
43,-538,492,1728,1
59,-541,479,1728,1
74,-539,462,1728,1
90,-534,441,1728,1
109,-527,415,1728,1
126,-516,386,1728,1
145,-505,355,1728,1
167,-493,322,1728,1
190,-481,287,1728,1
212,-467,250,1728,1
235,-451,212,1728,1
257,-435,173,1728,1
280,-420,135,1728,1
300,-406,101,1728,1
318,-393,70,1728,1
335,-381,40,1728,1
350,-369,14,1728,1
365,-359,-12,1728,1
377,-348,-35,1728,1
383,-336,-53,1728,1
387,-325,-68,1728,1
391,-314,-84,1728,1
396,-301,-101,1728,1
398,-288,-118,1728,1
400,-273,-134,1728,1
401,-257,-151,1728,1
399,-240,-166,1728,1
398,-222,-183,1728,1
399,-202,-205,1728,1
398,-180,-227,1728,1
396,-157,-248,1728,1
394,-134,-269,1728,1
390,-108,-291,1728,1
386,-82,-313,1728,1
381,-57,-333,1728,1
377,-37,-350,1728,1
373,-18,-365,1728,1
368,-1,-378,1728,1
364,17,-392,1728,1
359,33,-404,1728,1
352,48,-412,1728,1
345,61,-417,1728,1
338,72,-422,1728,1
330,87,-429,1728,1
319,104,-436,1728,1
307,122,-443,1728,1
293,144,-449,1728,1
274,168,-456,1728,1
255,192,-461,1728,1
236,220,-469,1728,1
214,250,-478,1728,1
190,282,-486,1728,1
165,312,-492,1728,1
140,341,-497,1728,1
114,370,-500,1728,1
87,398,-501,1728,1
64,422,-502,1728,1
43,445,-504,1728,1
24,464,-505,1728,1
6,482,-505,1728,1
-12,498,-504,1728,1
-29,511,-500,1728,1
-43,517,-492,1728,1
-55,522,-485,1728,1
-67,525,-476,1728,1
-82,526,-462,1728,1
-97,523,-444,1728,1
-113,519,-423,1728,1
-131,511,-398,1728,1
-148,499,-369,1728,1
-166,486,-337,1728,1
-188,473,-304,1728,1
-210,460,-268,1728,1
-232,445,-231,1728,1
-254,430,-193,1728,1
-277,413,-153,1728,1
-299,397,-114,1728,1
-319,381,-78,1728,1
-336,367,-47,1728,1
-352,355,-19,1728,1
-366,342,8,1728,1
-380,331,34,1728,1
-391,320,56,1728,1
-397,307,75,1728,1
-398,295,88,1728,1
-401,284,102,1728,1
-404,271,119,1728,1
-407,257,135,1728,1
-407,243,151,1728,1
-407,226,167,1728,1
-405,209,182,1728,1
-402,191,198,1728,1
-402,171,218,1728,1
-402,149,239,1728,1
-400,127,260,1728,1
-396,103,280,1728,1
-392,79,301,1728,1
-388,53,323,1728,1
-382,29,342,1728,1
-378,8,358,1728,1
-374,-9,372,1728,1
-369,-26,384,1728,1
-364,-42,396,1728,1
-360,-58,407,1728,1
-353,-72,414,1728,1
-345,-84,419,1728,1
-337,-95,423,1728,1
-330,-109,429,1728,1
-319,-125,436,1728,1
-307,-142,441,1728,1
-293,-163,448,1728,1
-277,-186,454,1728,1
-258,-210,460,1728,1
-239,-236,468,1728,1
-218,-266,476,1728,1
-194,-297,484,1728,1
-170,-327,490,1728,1
-146,-355,495,1728,1
-120,-384,498,1728,1
-94,-411,500,1728,1
-71,-435,501,1728,1
-50,-457,503,1728,1
-32,-476,503,1728,1
-15,-492,503,1728,1
2,-509,503,1728,1
18,-522,500,1728,1
32,-530,493,1728,1
44,-533,485,1728,1
57,-536,476,1728,1
71,-538,464,1728,1
86,-536,447,1728,1
102,-532,427,1728,1
119,-524,402,1728,1
137,-513,373,1728,1
155,-501,343,1728,1
176,-488,309,1728,1
198,-475,274,1728,1
219,-462,238,1728,1
241,-447,201,1728,1
264,-432,163,1728,1
286,-416,125,1728,1
306,-401,90,1728,1
323,-388,60,1728,1
338,-376,32,1728,1
353,-364,6,1728,1
367,-354,-19,1728,1
380,-344,-42,1728,1
387,-332,-61,1728,1
389,-321,-75,1728,1
392,-310,-89,1728,1
397,-298,-106,1728,1
400,-284,-123,1728,1
401,-270,-139,1728,1
402,-254,-156,1728,1
401,-237,-171,1728,1
399,-220,-188,1728,1
400,-200,-208,1728,1
400,-179,-230,1728,1
398,-156,-251,1728,1
395,-132,-272,1728,1
392,-108,-293,1728,1
388,-82,-315,1728,1
384,-58,-335,1728,1
380,-37,-352,1728,1
376,-19,-367,1728,1
371,-3,-379,1728,1
367,14,-392,1728,1
363,31,-404,1728,1
357,45,-413,1728,1
349,58,-419,1728,1
342,70,-424,1728,1
334,85,-431,1728,1
325,102,-439,1728,1
313,120,-445,1728,1
298,141,-452,1728,1
281,166,-460,1728,1
262,191,-466,1728,1
243,218,-475,1728,1
222,248,-484,1728,1
198,280,-492,1728,1
173,311,-499,1728,1
149,340,-504,1728,1
124,369,-508,1728,1
98,396,-510,1728,1
75,421,-512,1728,1
54,444,-515,1728,1
36,464,-516,1728,1
19,480,-517,1728,1
2,497,-517,1728,1
-14,510,-514,1728,1
-29,519,-508,1728,1
-42,524,-501,1728,1
-54,528,-492,1728,1
-69,529,-479,1728,1
-84,528,-462,1728,1
-100,523,-442,1728,1
-118,517,-417,1728,1
-136,506,-388,1728,1
-155,494,-357,1728,1
-176,482,-324,1728,1
-198,469,-289,1728,1
-220,455,-253,1728,1
-243,440,-215,1728,1
-265,425,-177,1728,1
-287,410,-140,1728,1
-308,395,-105,1728,1
-325,382,-73,1728,1
-342,370,-45,1728,1
-356,359,-19,1728,1
-371,349,6,1728,1
-384,338,29,1728,1
-392,327,50,1728,1
-396,315,65,1728,1
-399,304,79,1728,1
-404,293,97,1728,1
-408,280,114,1728,1
-410,265,130,1728,1
-412,249,148,1728,1
-411,232,165,1728,1
-409,214,181,1728,1
-410,195,201,1728,1
-411,173,224,1728,1
-410,151,246,1728,1
-408,127,268,1728,1
-404,103,289,1728,1
-401,78,310,1728,1
-396,54,330,1728,1
-392,33,348,1728,1
-389,14,364,1728,1
-385,-3,377,1728,1
-381,-20,390,1728,1
-378,-36,403,1728,1
-372,-51,412,1728,1
-365,-65,419,1728,1
-358,-77,425,1728,1
-351,-92,432,1728,1
-341,-109,440,1728,1
-329,-128,448,1728,1
-315,-150,456,1728,1
-297,-175,463,1728,1
-278,-201,470,1728,1
-258,-228,478,1728,1
-237,-259,488,1728,1
-213,-291,496,1728,1
-188,-322,503,1728,1
-163,-352,508,1728,1
-137,-380,511,1728,1
-112,-408,514,1728,1
-88,-432,515,1728,1
-67,-455,517,1728,1
-48,-476,519,1728,1
-31,-493,520,1728,1
-15,-509,520,1728,1
2,-523,517,1728,1
17,-532,510,1728,1
31,-537,502,1728,1
44,-541,493,1728,1
58,-543,481,1728,1
74,-542,464,1728,1
90,-537,444,1728,1
109,-531,419,1728,1
128,-520,389,1728,1
147,-507,357,1728,1
167,-495,324,1728,1
190,-483,288,1728,1
213,-469,252,1728,1
235,-453,214,1728,1
258,-438,176,1728,1
280,-423,138,1728,1
301,-408,102,1728,1
319,-394,71,1728,1
335,-383,42,1728,1
350,-371,15,1728,1
364,-360,-10,1728,1
377,-350,-33,1728,1
385,-338,-53,1728,1
388,-326,-69,1728,1
391,-315,-83,1728,1
395,-303,-99,1728,1
398,-289,-117,1728,1
400,-274,-133,1728,1
401,-259,-150,1728,1
400,-241,-167,1728,1
398,-222,-183,1728,1
398,-202,-203,1728,1
398,-180,-226,1728,1
396,-157,-248,1728,1
393,-133,-269,1728,1
390,-108,-291,1728,1
385,-83,-312,1728,1
380,-57,-333,1728,1
375,-35,-351,1728,1
372,-16,-366,1728,1
368,1,-379,1728,1
363,17,-391,1728,1
358,34,-403,1728,1
352,49,-413,1728,1
344,63,-418,1728,1
336,76,-423,1728,1
328,89,-429,1728,1
317,106,-436,1728,1
305,125,-442,1728,1
291,146,-450,1728,1
273,171,-457,1728,1
253,196,-463,1728,1
233,223,-469,1728,1
211,252,-478,1728,1
187,284,-486,1728,1
162,315,-492,1728,1
137,344,-497,1728,1
112,372,-500,1728,1
85,400,-501,1728,1
60,425,-502,1728,1
39,447,-503,1728,1
20,467,-505,1728,1
3,483,-504,1728,1
-14,499,-503,1728,1
-30,513,-500,1728,1
-46,520,-493,1728,1
-59,524,-484,1728,1
-70,526,-474,1728,1
-84,527,-461,1728,1
-99,525,-443,1728,1
-115,519,-422,1728,1
-132,513,-398,1728,1
-151,501,-368,1728,1
-168,487,-337,1728,1
-189,474,-303,1728,1
-211,460,-266,1728,1
-233,445,-229,1728,1
-255,430,-192,1728,1
-278,414,-153,1728,1
-300,397,-114,1728,1
-321,381,-77,1728,1
-338,366,-45,1728,1
-352,354,-18,1728,1
-365,342,8,1728,1
-379,331,32,1728,1
-391,320,56,1728,1
-398,308,76,1728,1
-400,294,91,1728,1
-400,282,103,1728,1
-403,270,118,1728,1
-405,256,134,1728,1
-406,242,150,1728,1
-407,226,167,1728,1
-405,209,183,1728,1
-402,190,198,1728,1
-400,171,217,1728,1
-400,148,238,1728,1
-398,125,261,1728,1
-395,102,281,1728,1
-391,78,301,1728,1
-386,53,322,1728,1
-381,28,342,1728,1
-376,6,358,1728,1
-372,-12,372,1728,1
-368,-27,384,1728,1
-363,-43,395,1728,1
-358,-58,406,1728,1
-352,-73,415,1728,1
-344,-86,420,1728,1
-336,-98,424,1728,1
-328,-110,429,1728,1
-318,-127,435,1728,1
-306,-145,441,1728,1
-293,-164,448,1728,1
-276,-187,455,1728,1
-257,-213,462,1728,1
-237,-239,469,1728,1
-216,-268,477,1728,1
-193,-298,484,1728,1
-168,-329,491,1728,1
-144,-358,496,1728,1
-120,-385,499,1728,1
-94,-413,501,1728,1
-69,-438,502,1728,1
-48,-460,503,1728,1
-30,-479,505,1728,1
-14,-495,505,1728,1
2,-510,504,1728,1
18,-524,502,1728,1
33,-532,496,1728,1
47,-537,487,1728,1
58,-539,478,1728,1
71,-540,465,1728,1
87,-538,449,1728,1
102,-534,428,1728,1
119,-527,404,1728,1
138,-516,375,1728,1
156,-504,344,1728,1
176,-491,311,1728,1
198,-477,275,1728,1
220,-463,239,1728,1
242,-449,203,1728,1
264,-434,166,1728,1
286,-419,128,1728,1
307,-404,92,1728,1
324,-390,61,1728,1
340,-378,33,1728,1
353,-366,8,1728,1
366,-356,-16,1728,1
380,-346,-39,1728,1
388,-335,-60,1728,1
392,-322,-76,1728,1
393,-311,-89,1728,1
397,-300,-104,1728,1
400,-286,-121,1728,1
402,-272,-137,1728,1
403,-256,-154,1728,1
402,-239,-171,1728,1
401,-221,-188,1728,1
400,-202,-206,1728,1
400,-180,-228,1728,1
399,-157,-250,1728,1
397,-134,-272,1728,1
394,-110,-293,1728,1
390,-86,-313,1728,1
385,-61,-334,1728,1
381,-39,-352,1728,1
377,-20,-367,1728,1
373,-4,-379,1728,1
369,14,-394,1728,1
364,30,-405,1728,1
358,44,-413,1728,1
352,55,-418,1728,1
346,67,-424,1728,1
338,83,-432,1728,1
328,99,-440,1728,1
316,118,-446,1728,1
300,140,-453,1728,1
283,163,-459,1728,1
266,188,-467,1728,1
247,215,-476,1728,1
225,246,-485,1728,1
201,278,-493,1728,1
177,308,-499,1728,1
152,337,-505,1728,1
126,366,-508,1728,1
101,394,-510,1728,1
78,418,-513,1728,1
57,442,-515,1728,1
39,461,-517,1728,1
22,479,-518,1728,1
4,495,-517,1728,1
-12,508,-513,1728,1
-27,516,-508,1728,1
-39,522,-501,1728,1
-52,526,-493,1728,1
-67,529,-480,1728,1
-82,527,-463,1728,1
-99,522,-442,1728,1
-117,515,-417,1728,1
-134,504,-388,1728,1
-153,492,-357,1728,1
-175,481,-324,1728,1
-197,468,-289,1728,1
-219,454,-253,1728,1
-241,438,-215,1728,1
-264,423,-176,1728,1
-286,408,-139,1728,1
-306,394,-105,1728,1
-324,381,-74,1728,1
-341,369,-45,1728,1
-356,358,-18,1728,1
-371,348,8,1728,1
-383,336,31,1728,1
-389,325,49,1728,1
-394,315,64,1728,1
-399,304,80,1728,1
-405,292,98,1728,1
-408,279,115,1728,1
-410,264,131,1728,1
-410,248,148,1728,1
-409,231,164,1728,1
-409,214,181,1728,1
-411,194,203,1728,1
-411,173,225,1728,1
-410,150,246,1728,1
-407,127,267,1728,1
-404,103,289,1728,1
-400,77,311,1728,1
-396,54,330,1728,1
-393,33,348,1728,1
-389,14,363,1728,1
-385,-3,377,1728,1
-382,-20,391,1728,1
-378,-36,403,1728,1
-371,-50,411,1728,1
-365,-63,418,1728,1
-359,-75,424,1728,1
-351,-91,432,1728,1
-342,-108,440,1728,1
-329,-127,447,1728,1
-314,-149,454,1728,1
-297,-173,461,1728,1
-279,-198,468,1728,1
-260,-226,478,1728,1
-237,-257,487,1728,1
-213,-289,495,1728,1
-188,-320,501,1728,1
-163,-349,506,1728,1
-137,-378,509,1728,1
-112,-405,511,1728,1
-89,-430,513,1728,1
-68,-453,516,1728,1
-49,-473,517,1728,1
-32,-491,518,1728,1
-14,-508,517,1728,1
2,-520,513,1728,1
17,-528,507,1728,1
30,-534,501,1728,1
43,-538,492,1728,1
59,-541,479,1728,1
74,-539,462,1728,1
90,-534,441,1728,1
109,-527,415,1728,1
126,-516,386,1728,1
145,-505,355,1728,1
167,-493,322,1728,1
190,-481,287,1728,1
212,-467,250,1728,1
235,-451,212,1728,1
257,-435,173,1728,1
280,-420,135,1728,1
300,-406,101,1728,1
318,-393,70,1728,1
335,-381,40,1728,1
350,-369,14,1728,1
365,-359,-12,1728,1
377,-348,-35,1728,1
383,-336,-53,1728,1
387,-325,-68,1728,1
391,-314,-84,1728,1
396,-301,-101,1728,1
398,-288,-118,1728,1
400,-273,-134,1728,1
401,-257,-151,1728,1
399,-240,-166,1728,1
398,-222,-183,1728,1
399,-202,-205,1728,1
398,-180,-227,1728,1
396,-157,-248,1728,1
394,-134,-269,1728,1
390,-108,-291,1728,1
386,-82,-313,1728,1
381,-57,-333,1728,1
377,-37,-350,1728,1
373,-18,-365,1728,1
368,-1,-378,1728,1
364,17,-392,1728,1
359,33,-404,1728,1
352,48,-412,1728,1
345,61,-417,1728,1
338,72,-422,1728,1
330,87,-429,1728,1
319,104,-436,1728,1
307,122,-443,1728,1
293,144,-449,1728,1
274,168,-456,1728,1
255,192,-461,1728,1
236,220,-469,1728,1
214,250,-478,1728,1
190,282,-486,1728,1
165,312,-492,1728,1
140,341,-497,1728,1
114,370,-500,1728,1
87,398,-501,1728,1
64,422,-502,1728,1
43,445,-504,1728,1
24,464,-505,1728,1
6,482,-505,1728,1
-12,498,-504,1728,1
-29,511,-500,1728,1
-43,517,-492,1728,1
-55,522,-485,1728,1
-67,525,-476,1728,1
-82,526,-462,1728,1
-97,523,-444,1728,1
-113,519,-423,1728,1
-131,511,-398,1728,1
-148,499,-369,1728,1
-166,486,-337,1728,1
-188,473,-304,1728,1
-210,460,-268,1728,1
-232,445,-231,1728,1
-254,430,-193,1728,1
-277,413,-153,1728,1
-299,397,-114,1728,1
-319,381,-78,1728,1
-336,367,-47,1728,1
-352,355,-19,1728,1
-366,342,8,1728,1
-380,331,34,1728,1
-391,320,56,1728,1
-397,307,75,1728,1
-398,295,88,1728,1
-401,284,102,1728,1
-404,271,119,1728,1
-407,257,135,1728,1
-407,243,151,1728,1
-407,226,167,1728,1
-405,209,182,1728,1
-402,191,198,1728,1
-402,171,218,1728,1
-402,149,239,1728,1
-400,127,260,1728,1
-396,103,280,1728,1
-392,79,301,1728,1
-388,53,323,1728,1
-382,29,342,1728,1
-378,8,358,1728,1
-374,-9,372,1728,1
-369,-26,384,1728,1
-364,-42,396,1728,1
-360,-58,407,1728,1
-353,-72,414,1728,1
-345,-84,419,1728,1
-337,-95,423,1728,1
-330,-109,429,1728,1
-319,-125,436,1728,1
-307,-142,441,1728,1
-293,-163,448,1728,1
-277,-186,454,1728,1
-258,-210,460,1728,1
-239,-236,468,1728,1
-218,-266,476,1728,1
-194,-297,484,1728,1
-170,-327,490,1728,1
-146,-355,495,1728,1
-120,-384,498,1728,1
-94,-411,500,1728,1
-71,-435,501,1728,1
-50,-457,503,1728,1
-32,-476,503,1728,1
-15,-492,503,1728,1
2,-509,503,1728,1
18,-522,500,1728,1
32,-530,493,1728,1
44,-533,485,1728,1
57,-536,476,1728,1
71,-538,464,1728,1
86,-536,447,1728,1
102,-532,427,1728,1
119,-524,402,1728,1
137,-513,373,1728,1
155,-501,343,1728,1
176,-488,309,1728,1
198,-475,274,1728,1
219,-462,238,1728,1
241,-447,201,1728,1
264,-432,163,1728,1
286,-416,125,1728,1
306,-401,90,1728,1
323,-388,60,1728,1
338,-376,32,1728,1
353,-364,6,1728,1
367,-354,-19,1728,1
380,-344,-42,1728,1
387,-332,-61,1728,1
389,-321,-75,1728,1
392,-310,-89,1728,1
397,-298,-106,1728,1
400,-284,-123,1728,1
401,-270,-139,1728,1
402,-254,-156,1728,1
401,-237,-171,1728,1
399,-220,-188,1728,1
400,-200,-208,1728,1
400,-179,-230,1728,1
398,-156,-251,1728,1
395,-132,-272,1728,1
392,-108,-293,1728,1
388,-82,-315,1728,1
384,-58,-335,1728,1
380,-37,-352,1728,1
376,-19,-367,1728,1
371,-3,-379,1728,1
367,14,-392,1728,1
363,31,-404,1728,1
357,45,-413,1728,1
349,58,-419,1728,1
342,70,-424,1728,1
334,85,-431,1728,1
325,102,-439,1728,1
313,120,-445,1728,1
298,141,-452,1728,1
281,166,-460,1728,1
262,191,-466,1728,1
243,218,-475,1728,1
222,248,-484,1728,1
198,280,-492,1728,1
173,311,-499,1728,1
149,340,-504,1728,1
124,369,-508,1728,1
98,396,-510,1728,1
75,421,-512,1728,1
54,444,-515,1728,1
36,464,-516,1728,1
19,480,-517,1728,1
2,497,-517,1728,1
-14,510,-514,1728,1
-29,519,-508,1728,1
-42,524,-501,1728,1
-54,528,-492,1728,1
-69,529,-479,1728,1
-84,528,-462,1728,1
-100,523,-442,1728,1
-118,517,-417,1728,1
-136,506,-388,1728,1
-155,494,-357,1728,1
-176,482,-324,1728,1
-198,469,-289,1728,1
-220,455,-253,1728,1
-243,440,-215,1728,1
-265,425,-177,1728,1
-287,410,-140,1728,1
-308,395,-105,1728,1
-325,382,-73,1728,1
-342,370,-45,1728,1
-356,359,-19,1728,1
-371,349,6,1728,1
-384,338,29,1728,1
-392,327,50,1728,1
-396,315,65,1728,1
-399,304,79,1728,1
-404,293,97,1728,1
-408,280,114,1728,1
-410,265,130,1728,1
-412,249,148,1728,1
-411,232,165,1728,1
-409,214,181,1728,1
-410,195,201,1728,1
-411,173,224,1728,1
-410,151,246,1728,1
-408,127,268,1728,1
-404,103,289,1728,1
-401,78,310,1728,1
-396,54,330,1728,1
-392,33,348,1728,1
-389,14,364,1728,1
-385,-3,377,1728,1
-381,-20,390,1728,1
-378,-36,403,1728,1
-372,-51,412,1728,1
-365,-65,419,1728,1
-358,-77,425,1728,1
-351,-92,432,1728,1
-341,-109,440,1728,1
-329,-128,448,1728,1
-315,-150,456,1728,1
-297,-175,463,1728,1
-278,-201,470,1728,1
-258,-228,478,1728,1
-237,-259,488,1728,1
-213,-291,496,1728,1
-188,-322,503,1728,1
-163,-352,508,1728,1
-137,-380,511,1728,1
-112,-408,514,1728,1
-88,-432,515,1728,1
-67,-455,517,1728,1
-48,-476,519,1728,1
-31,-493,520,1728,1
-15,-509,520,1728,1
2,-523,517,1728,1
17,-532,510,1728,1
31,-537,502,1728,1
44,-541,493,1728,1
58,-543,481,1728,1
74,-542,464,1728,1
90,-537,444,1728,1
109,-531,419,1728,1
128,-520,389,1728,1
147,-507,357,1728,1
167,-495,324,1728,1
190,-483,288,1728,1
213,-469,252,1728,1
235,-453,214,1728,1
258,-438,176,1728,1
280,-423,138,1728,1
301,-408,102,1728,1
319,-394,71,1728,1
335,-383,42,1728,1
350,-371,15,1728,1
364,-360,-10,1728,1
377,-350,-33,1728,1
385,-338,-53,1728,1
388,-326,-69,1728,1
391,-315,-83,1728,1
395,-303,-99,1728,1
398,-289,-117,1728,1
400,-274,-133,1728,1
401,-259,-150,1728,1
400,-241,-167,1728,1
398,-222,-183,1728,1
398,-202,-203,1728,1
398,-180,-226,1728,1
396,-157,-248,1728,1
393,-133,-269,1728,1
390,-108,-291,1728,1
385,-83,-312,1728,1
380,-57,-333,1728,1
375,-35,-351,1728,1
372,-16,-366,1728,1
368,1,-379,1728,1
363,17,-391,1728,1
358,34,-403,1728,1
352,49,-413,1728,1
344,63,-418,1728,1
336,76,-423,1728,1
328,89,-429,1728,1
317,106,-436,1728,1
305,125,-442,1728,1
291,146,-450,1728,1
273,171,-457,1728,1
253,196,-463,1728,1
233,223,-469,1728,1
211,252,-478,1728,1
187,284,-486,1728,1
162,315,-492,1728,1
137,344,-497,1728,1
112,372,-500,1728,1
85,400,-501,1728,1
60,425,-502,1728,1
39,447,-503,1728,1
20,467,-505,1728,1
3,483,-504,1728,1
-14,499,-503,1728,1
-30,513,-500,1728,1
-46,520,-493,1728,1
-59,524,-484,1728,1
-70,526,-474,1728,1
-84,527,-461,1728,1
-99,525,-443,1728,1
-115,519,-422,1728,1
-132,513,-398,1728,1
-151,501,-368,1728,1
-168,487,-337,1728,1
-189,474,-303,1728,1
-211,460,-266,1728,1
-233,445,-229,1728,1
-255,430,-192,1728,1
-278,414,-153,1728,1
-300,397,-114,1728,1
-321,381,-77,1728,1
-338,366,-45,1728,1
-352,354,-18,1728,1
-365,342,8,1728,1
-379,331,32,1728,1
-391,320,56,1728,1
-398,308,76,1728,1
-400,294,91,1728,1
-400,282,103,1728,1
-403,270,118,1728,1
-405,256,134,1728,1
-406,242,150,1728,1
-407,226,167,1728,1
-405,209,183,1728,1
-402,190,198,1728,1
-400,171,217,1728,1
-400,148,238,1728,1
-398,125,261,1728,1
-395,102,281,1728,1
-391,78,301,1728,1
-386,53,322,1728,1
-381,28,342,1728,1
-376,6,358,1728,1
-372,-12,372,1728,1
-368,-27,384,1728,1
-363,-43,395,1728,1
-358,-58,406,1728,1
-352,-73,415,1728,1
-344,-86,420,1728,1
-336,-98,424,1728,1
-328,-110,429,1728,1
-318,-127,435,1728,1
-306,-145,441,1728,1
-293,-164,448,1728,1
-276,-187,455,1728,1
-257,-213,462,1728,1
-237,-239,469,1728,1
-216,-268,477,1728,1
-193,-298,484,1728,1
-168,-329,491,1728,1
-144,-358,496,1728,1
-120,-385,499,1728,1
-94,-413,501,1728,1
-69,-438,502,1728,1
-48,-460,503,1728,1
-30,-479,505,1728,1
-14,-495,505,1728,1
2,-510,504,1728,1
18,-524,502,1728,1
33,-532,496,1728,1
47,-537,487,1728,1
58,-539,478,1728,1
71,-540,465,1728,1
87,-538,449,1728,1
102,-534,428,1728,1
119,-527,404,1728,1
138,-516,375,1728,1
156,-504,344,1728,1
176,-491,311,1728,1
198,-477,275,1728,1
220,-463,239,1728,1
242,-449,203,1728,1
264,-434,166,1728,1
286,-419,128,1728,1
307,-404,92,1728,1
324,-390,61,1728,1
340,-378,33,1728,1
353,-366,8,1728,1
366,-356,-16,1728,1
380,-346,-39,1728,1
388,-335,-60,1728,1
392,-322,-76,1728,1
393,-311,-89,1728,1
397,-300,-104,1728,1
400,-286,-121,1728,1
402,-272,-137,1728,1
403,-256,-154,1728,1
402,-239,-171,1728,1
401,-221,-188,1728,1
400,-202,-206,1728,1
400,-180,-228,1728,1
399,-157,-250,1728,1
397,-134,-272,1728,1
394,-110,-293,1728,1
390,-86,-313,1728,1
385,-61,-334,1728,1
381,-39,-352,1728,1
377,-20,-367,1728,1
373,-4,-379,1728,1
35,-542,503,1729,1
49,-546,493,1729,1
61,-546,481,1729,1
75,-544,466,1729,1
91,-540,447,1729,1
108,-535,424,1729,1
126,-526,396,1729,1
146,-514,365,1729,1
165,-501,332,1729,1
187,-487,296,1729,1
209,-473,260,1729,1
231,-459,224,1729,1
253,-444,187,1729,1
274,-429,150,1729,1
296,-415,114,1729,1
316,-401,80,1729,1
333,-388,50,1729,1
346,-376,24,1729,1
359,-366,2,1729,1
371,-356,-21,1729,1
382,-346,-42,1729,1
389,-335,-61,1729,1
393,-322,-78,1729,1
395,-310,-92,1729,1
397,-298,-106,1729,1
401,-284,-123,1729,1
403,-269,-141,1729,1
404,-252,-159,1729,1
402,-233,-177,1729,1
401,-214,-195,1729,1
401,-193,-216,1729,1
401,-171,-239,1729,1
400,-147,-261,1729,1
397,-123,-283,1729,1
393,-99,-303,1729,1
389,-75,-323,1729,1
385,-51,-343,1729,1
381,-31,-361,1729,1
377,-13,-374,1729,1
374,1,-385,1729,1
369,17,-397,1729,1
365,32,-408,1729,1
359,47,-417,1729,1
352,61,-424,1729,1
343,76,-431,1729,1
334,91,-437,1729,1
323,109,-444,1729,1
310,130,-453,1729,1
294,154,-461,1729,1
275,180,-469,1729,1
254,209,-477,1729,1
233,238,-485,1729,1
210,269,-493,1729,1
185,301,-501,1729,1
160,332,-507,1729,1
135,361,-512,1729,1
111,388,-515,1729,1
87,414,-517,1729,1
63,439,-519,1729,1
43,459,-520,1729,1
26,478,-521,1729,1
11,493,-521,1729,1
-5,507,-520,1729,1
-20,519,-517,1729,1
-35,526,-510,1729,1
-49,530,-499,1729,1
-62,531,-487,1729,1
-76,530,-472,1729,1
-92,526,-452,1729,1
-110,520,-429,1729,1
-128,512,-402,1729,1
-149,500,-370,1729,1
-169,487,-336,1729,1
-191,473,-300,1729,1
-213,458,-263,1729,1
-235,444,-227,1729,1
-258,430,-189,1729,1
-280,415,-152,1729,1
-301,400,-116,1729,1
-322,386,-81,1729,1
-339,373,-51,1729,1
-353,362,-25,1729,1
-365,351,-2,1729,1
-378,341,21,1729,1
-389,331,43,1729,1
-396,320,61,1729,1
-400,307,78,1729,1
-402,295,92,1729,1
-405,282,108,1729,1
-408,268,125,1729,1
-410,253,142,1729,1
-410,236,160,1729,1
-409,217,179,1729,1
-408,197,197,1729,1
